开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
zong4	〖人 忩 倊〗〖亻 忩 倊〗
ge4	〖人 固 個〗〖人 丨 个〗
guan1	〖人 官 倌〗〖亻 官 倌〗
bei4	〖人 咅 倍〗〖亻 咅 倍〗〖人 立 口 倍〗
tian1	〖人 典 倎〗〖亻 典 倎〗
shu1, shu4	〖攸 犬 倏〗
shu1	〖攸 火 倐〗
men2	〖人 門 們〗〖人 门 们〗〖亻 门 们〗
dao3, dao4	〖人 到 倒〗〖亻 到 倒〗
tan2	〖人 炎 倓〗〖亻 炎 倓〗
jue2, jue4	〖人 屈 倔〗〖亻 屈 倔〗
chui2	〖人 垂 倕〗〖亻 垂 倕〗
xing4	〖人 幸 倖〗〖土 丷 二 丨 幸〗〖土 羊 幸〗
peng2	〖人 朋 倗〗〖亻 朋 倗〗
tang3	〖人 尚 倘〗〖亻 尚 倘〗
hou4	〖人 丨 乛 一 矢 候〗〖亻 丨 乛 一 矢 候〗〖侯 丨 候〗
yi3	〖人 奇 倚〗〖亻 奇 倚〗
qi1	〖人 其 倛〗〖亻 其 倛〗
ti4	〖人 周 倜〗〖亻 周 倜〗
gan4	〖𠦝 人 倝〗〖十 日 十 人 倝〗〖卓 人 倝〗
jing4, liang4	〖人 京 倞〗〖亻 京 倞〗
jie4	〖人 昔 借〗〖亻 昔 借〗
sui1	〖人 隹 倠〗
chang4	〖人 昌 倡〗〖亻 昌 倡〗
jie2	〖人 疌 倢〗〖亻 疌 倢〗
fang3	〖人 放 倣〗〖亻 放 倣〗
zhi2	〖人 直 値〗〖亻 直 値〗
kong1, kong3	〖人 空 倥〗〖亻 空 倥〗
juan4	〖人 卷 倦〗〖亻 卷 倦〗
zong1	〖人 宗 倧〗〖亻 宗 倧〗
ju4	〖人 居 倨〗〖亻 居 倨〗
qian4	〖人 青 倩〗〖亻 青 倩〗
ni2	〖人 兒 倪〗〖亻 兒 倪〗
lun2	〖人 侖 倫〗〖人 仑 伦〗〖亻 仑 伦〗
zhuo1	〖人 卓 倬〗〖亻 卓 倬〗
wo1	〖人 委 倭〗〖亻 委 倭〗
luo3	〖人 果 倮〗〖亻 果 倮〗
song1	〖人 松 倯〗〖亻 松 倯〗
leng2, leng4, ling2	〖人 夌 倰〗〖亻 夌 倰〗
hun4	〖人 昆 倱〗〖亻 昆 倱〗
dong1	〖人 東 倲〗〖人 东 □〗〖亻 东 □〗
zi4	〖人 事 倳〗〖亻 事 倳〗
ben4	〖人 奔 倴〗〖亻 奔 倴〗
wu3	〖人 武 倵〗〖亻 武 倵〗
ju4, ju1	〖人 具 倶〗〖亻 具 倶〗
nai4	〖人 奈 倷〗〖亻 奈 倷〗
cai3	〖人 采 倸〗〖亻 采 倸〗
jian3	〖人 人 一 口 人 倹〗〖人 佥 俭〗〖亻 佥 俭〗
ye1	〖人 耶 倻〗〖亻 耶 倻〗
zhi2	〖人 直 值〗〖亻 直 值〗
sha4	〖人 舍 倽〗〖亻 舍 倽〗
ying1	〖人 英 偀〗〖亻 英 偀〗
cheng1	〖人 爯 偁〗〖亻 爯 偁〗
jian1	〖人 前 偂〗〖亻 前 偂〗
yan3	〖亻 匚 日 女 偃〗〖亻 匽 偃〗〖人 匚 妟 偃〗
nuan4	〖人 耎 偄〗〖亻 耎 偄〗
zhong4	〖人 重 偅〗〖亻 重 偅〗
chun3	〖人 春 偆〗〖亻 春 偆〗
jia4	〖人 叚 假〗〖亻 叚 假〗
jie2, qi4, ji4	〖人 曷 偈〗〖亻 曷 偈〗
wei3	〖人 韋 偉〗〖人 韦 伟〗〖亻 韦 伟〗
yu3, ju3	〖人 禹 偊〗〖亻 禹 偊〗
bing3	〖人 屏 偋〗〖亻 屏 偋〗
ruo4	〖人 若 偌〗〖亻 若 偌〗
ti2	〖人 是 偍〗〖亻 是 偍〗
wei1	〖人 畏 偎〗〖亻 畏 偎〗
pian1	〖人 扁 偏〗〖亻 扁 偏〗
yan4	〖人 彦 偐〗〖亻 彦 偐〗
feng1	〖人 風 偑〗〖人 风 □〗〖亻 风 □〗
tang3, dang4	〖人 易 偒〗〖亻 易 偒〗
wo4	〖人 屋 偓〗〖亻 屋 偓〗
e4	〖人 咢 偔〗〖亻 咢 偔〗
xie2	〖人 皆 偕〗〖亻 皆 偕〗
che3	〖人 者 偖〗〖亻 者 偖〗
sheng3	〖人 省 偗〗〖亻 省 偗〗
kan3	〖人 品 偘〗〖亻 品 偘〗
di4	〖人 帝 偙〗〖亻 帝 偙〗
zuo4	〖人 故 做〗〖亻 故 做〗
cha1	〖人 臿 偛〗〖亻 臿 偛〗
ting2	〖人 亭 停〗〖亻 亭 停〗
bei4	〖人 背 偝〗〖亻 背 偝〗
ye4	〖人 枼 偞〗〖亻 枼 偞〗
huang2	〖人 皇 偟〗〖亻 皇 偟〗
yao3	〖人 要 偠〗〖亻 要 偠〗
zhan4	〖人 甚 偡〗〖亻 甚 偡〗
chou3	〖人 秋 偢〗〖亻 秋 偢〗
yan1	〖人 音 偣〗〖亻 音 偣〗
you3	〖人 酋 偤〗〖亻 酋 偤〗
jian4	〖人 建 健〗〖亻 建 健〗
xu1	〖人 女 疋 偦〗〖亻 女 疋 偦〗
zha1	〖人 大 多 偧〗〖亻 大 多 偧〗
ci1	〖人 奓 偨〗〖亻 奓 偨〗
fu4	〖人 負 偩〗〖人 负 □〗〖亻 负 □〗
bi1	〖人 畐 偪〗〖亻 畐 偪〗
zhi4	〖人 待 偫〗〖亻 待 偫〗
zong3	〖人 怱 偬〗〖亻 怱 偬〗
mian3	〖人 面 偭〗〖亻 面 偭〗
ji2	〖人 咠 偮〗〖亻 咠 偮〗
yi3	〖人 哀 偯〗〖亻 哀 偯〗
xie4	〖人 契 偰〗〖亻 契 偰〗
xun2	〖人 盾 偱〗〖亻 盾 偱〗
si1	〖人 思 偲〗〖亻 思 偲〗
duan1	〖人 耑 偳〗〖亻 耑 偳〗
ce4	〖人 則 側〗〖人 则 侧〗〖亻 则 侧〗
zhen1	〖人 貞 偵〗〖人 贞 侦〗〖亻 贞 侦〗
ou3	〖人 禺 偶〗〖亻 禺 偶〗
tou1	〖人 俞 偷〗〖亻 俞 偷〗
tou1	〖人 兪 偸〗〖人 俞 偷〗〖亻 俞 偷〗
bei4	〖攸 田 偹〗〖人 丨 备 偹〗〖亻 丨 备 偹〗
za2, zan2	〖人 昝 偺〗〖亻 昝 偺〗
jie2	〖人 疌 偼〗〖亻 疌 偼〗
wei3, wei4	〖人 為 偽〗〖人 为 伪〗〖亻 为 伪〗
kui3	〖人 鬼 傀〗〖亻 鬼 傀〗
sou3	〖人 叟 傁〗〖亻 叟 傁〗
zhi4	〖人 虒 傂〗〖亻 虒 傂〗
su4	〖人 素 傃〗〖亻 素 傃〗
xia1	〖人 眘 傄〗〖亻 眘 傄〗
fu4	〖人 甫 寸 傅〗〖亻 甫 寸 傅〗〖亻 尃 傅〗
yuan4	〖人 原 傆〗〖亻 原 傆〗
rong3	〖人 茸 傇〗〖亻 茸 傇〗
li4	〖人 栗 傈〗〖亻 栗 傈〗
ru4	〖人 辱 傉〗〖亻 辱 傉〗
yun3	〖人 員 傊〗〖人 员 □〗〖亻 员 □〗
gou4	〖人 冓 傋〗〖亻 冓 傋〗
ma4	〖人 馬 傌〗〖亻 馬 傌〗
bang4	〖人 旁 傍〗
dian1	〖人 真 傎〗〖亻 真 傎〗
tang2	〖人 唐 傏〗〖亻 唐 傏〗
hao4	〖人 高 傐〗〖亻 高 傐〗
jie2	〖人 桀 傑〗〖木 火 杰〗〖木 灬 杰〗
xi1, xi2, xi4	〖人 奚 傒〗〖亻 奚 傒〗
shan4	〖人 扇 傓〗〖亻 扇 傓〗
qian4	〖人 丶 丶 兼 傔〗〖亻 丶 丶 兼 傔〗
jue2	〖人 隺 傕〗〖亻 隺 傕〗
cang1	〖人 倉 傖〗〖人 仓 伧〗〖亻 仓 伧〗
chu4	〖人 畜 傗〗〖亻 畜 傗〗
san3	〖人 人 人 人 十 傘〗〖人 丷 十 伞〗
bei4	〖人 草 厂 用 備〗〖夂 田 备〗
xiao4	〖人 交 攴 傚〗〖人 交 攵 傚〗〖亻 交 攵 傚〗
yong3, rong2	〖人 容 傛〗〖亻 容 傛〗
yao2	〖人 月 缶 傜〗〖人 爪 缶 □〗〖亻 爫 缶 □〗
tan4, ta4	〖人 日 羽 傝〗〖亻 日 羽 傝〗
suo1	〖人 差 傞〗〖亻 差 傞〗
yang3	〖人 翁 傟〗〖亻 翁 傟〗
fa1	〖人 討 傠〗〖人 讨 □〗〖亻 讨 □〗
bing4	〖人 竝 傡〗〖亻 竝 傡〗
jia1	〖人 家 傢〗〖宀 豕 家〗
dai3	〖人 泰 傣〗〖亻 泰 傣〗
can1	〖人 參 傪〗〖人 参 □〗〖亻 参 □〗
lei3	〖人 累 傫〗〖亻 累 傫〗
cui1	〖人 崔 催〗〖亻 崔 催〗
yong1	〖人 庸 傭〗〖人 用 佣〗〖亻 用 佣〗
zao1, cao2	〖人 曹 傮〗〖亻 曹 傮〗
zong3	〖人 悤 傯〗〖亻 悤 傯〗
peng2	〖人 崩 傰〗〖亻 崩 傰〗
song3	〖人 從 傱〗〖人 从 □〗〖亻 从 □〗
ao4	〖人 敖 傲〗
chuan2, zhuan4	〖人 專 傳〗〖人 专 传〗〖亻 专 传〗
yu3	〖人 區 傴〗〖人 区 伛〗〖亻 区 伛〗
zhai4	〖人 責 債〗〖人 责 债〗〖亻 责 债〗
cou4	〖人 戚 傶〗〖亻 戚 傶〗
shang1	〖人 𠂉 昜〗〖人 𠂉 力 伤〗〖亻 𠂉 力 伤〗
qiang3	〖人 爽 傸〗〖亻 爽 傸〗
jing4, jiang1	〖人 竟 傹〗〖亻 竟 傹〗
chi4	〖人 祭 傺〗〖亻 祭 傺〗
sha3	〖人 囟 儿 夕 傻〗〖亻 囟 儿 夂 傻〗
han4	〖人 革 大 傼〗〖亻 革 大 傼〗
zhang1	〖人 章 傽〗〖亻 章 傽〗
qing1	〖人 頃 傾〗〖人 顷 倾〗〖亻 顷 倾〗
yan4	〖人 焉 傿〗〖亻 焉 傿〗
di4	〖人 帶 僀〗〖人 带 □〗〖亻 带 □〗
xi1	〖人 悉 僁〗〖亻 悉 僁〗
lou2	〖人 婁 僂〗〖人 娄 偻〗〖亻 娄 偻〗
bei4	〖人 草 勹 用 僃〗〖人 艸 勹 用 僃〗〖亻 艹 勹 用 僃〗
piao4	〖人 票 僄〗〖亻 票 僄〗
jin3	〖人 堇 僅〗〖人 又 仅〗〖亻 又 仅〗
lian2, lian3, lian4	〖人 連 僆〗〖人 连 □〗〖亻 连 □〗
lu4	〖人 翏 僇〗〖亻 翏 僇〗
man4	〖人 曼 僈〗〖亻 曼 僈〗
qian1	〖人 一 口 口 人 人 僉〗〖人 一 小 一 佥〗
xian1	〖人 西 大 己 僊〗〖亻 覀 大 己 僊〗
tan4	〖人 貪 僋〗〖人 贪 □〗〖亻 贪 □〗
ying2	〖人 車 攴 僌〗〖亻 車 攵 僌〗
	〖人 動 働〗〖人 动 □〗〖亻 动 □〗
zhuan4	〖人 巽 僎〗〖亻 巽 僎〗
xiang4	〖人 象 像〗〖亻 象 像〗
shan4	〖人 善 僐〗〖亻 善 僐〗
qiao2	〖人 喬 僑〗〖人 乔 侨〗〖亻 乔 侨〗
jiong3	〖人 窘 僒〗〖亻 窘 僒〗
tui3, tui2	〖人 貴 僓〗〖人 贵 □〗〖亻 贵 □〗
zun3	〖人 尊 僔〗〖亻 尊 僔〗
pu2	〖人 菐 僕〗〖人 卜 仆〗〖亻 卜 仆〗
xi1	〖人 喜 僖〗〖亻 喜 僖〗
lao2	〖人 勞 僗〗〖人 劳 □〗〖亻 劳 □〗
chang3	〖人 敞 僘〗〖亻 敞 僘〗
guang1	〖人 黃 僙〗〖亻 黃 僙〗〖人 黄 僙〗
liao2	〖人 尞 僚〗〖亻 尞 僚〗
qi1	〖人 欺 僛〗〖亻 欺 僛〗
deng4	〖人 登 僜〗〖亻 登 僜〗
chan2	〖人 孱 僝〗〖亻 孱 僝〗
wei3, wei4	〖人 爲 僞〗〖人 为 伪〗〖亻 为 伪〗
ji1	〖人 幾 僟〗〖人 几 □〗〖亻 几 □〗
fan1	〖人 番 僠〗〖亻 番 僠〗
hui4	〖人 惠 僡〗〖亻 惠 僡〗
chuan3	〖人 舜 僢〗〖亻 舜 僢〗
jian4	〖人 替 僣〗〖亻 替 僣〗
dan4	〖人 單 僤〗〖人 单 □〗〖亻 单 □〗
jiao3	〖人 堯 僥〗〖人 尧 侥〗〖亻 尧 侥〗
jiu4	〖人 就 僦〗〖亻 就 僦〗
seng1	〖人 曽 僧〗〖亻 曽 僧〗〖人 曾 僧〗
fen4	〖人 賁 僨〗〖人 贲 偾〗〖亻 贲 偾〗
xian4	〖人 閒 僩〗〖人 闲 □〗〖亻 闲 □〗
jue2	〖人 矞 僪〗〖亻 矞 僪〗
e4	〖人 惡 僫〗〖人 恶 □〗〖亻 恶 □〗
jiao1, jiao4	〖人 焦 僬〗〖亻 焦 僬〗
jian4	〖人 朁 僭〗〖亻 朁 僭〗
tong2	〖人 童 僮〗〖亻 童 僮〗
lin3	〖人 粦 僯〗〖亻 粦 僯〗
bo2	〖棘 人 僰〗
gu4	〖人 雇 僱〗〖户 隹 雇〗
su4	〖人 粟 僳〗〖亻 粟 僳〗
xian4	〖人 間 僴〗〖人 间 □〗〖亻 间 □〗
jiang1	〖人 畺 僵〗〖亻 畺 僵〗
min3	〖人 黽 僶〗〖人 黾 □〗〖亻 黾 □〗
ye4	〖人 葉 僷〗〖亻 葉 僷〗
jin4	〖人 禁 僸〗〖亻 禁 僸〗
jia4	〖人 賈 價〗〖人 介 价〗〖亻 介 价〗
qiao4	〖人 喿 僺〗〖亻 喿 僺〗
pi4	〖人 辟 僻〗〖亻 辟 僻〗
feng1	〖人 豐 僼〗〖亻 豐 僼〗
zhou4	〖人 愁 僽〗〖亻 愁 僽〗
ai4	〖人 愛 僾〗〖人 爱 □〗〖亻 爱 □〗
sai4	〖人 塞 僿〗〖亻 塞 僿〗
yi2	〖人 義 儀〗〖人 义 仪〗〖亻 义 仪〗
jun4	〖人 雋 儁〗〖亻 雋 儁〗
nong2	〖人 農 儂〗〖人 农 侬〗〖亻 农 侬〗
chan2, tan3	〖人 亶 儃〗〖亻 亶 儃〗
yi4	〖人 意 億〗〖人 乙 亿〗〖亻 乙 亿〗
dang1, dang4	〖人 當 儅〗〖人 当 □〗〖亻 当 □〗
jing3	〖人 敬 儆〗〖亻 敬 儆〗
xuan1	〖人 睘 儇〗〖亻 睘 儇〗
kuai4	〖人 會 儈〗〖人 会 侩〗〖亻 会 侩〗
jian3	〖人 僉 儉〗〖人 佥 俭〗〖亻 佥 俭〗
chu4	〖人 楚 儊〗〖亻 楚 儊〗
dan1	〖人 詹 儋〗〖亻 詹 儋〗
jiao3, yao2	〖人 敫 儌〗〖亻 敫 儌〗
sha3	〖人 凶 丶 丶 丶 丶 八 夕 儍〗〖人 囟 儿 夕 傻〗〖亻 囟 儿 夂 傻〗
zai4	〖人 載 儎〗〖人 载 傤〗〖亻 载 傤〗
bin4, bin1	〖人 賓 儐〗〖人 宾 傧〗〖亻 宾 傧〗
an4, e4	〖人 日 幺 幺 火 儑〗〖人 显 □〗〖亻 显 □〗
ru2	〖人 需 儒〗〖亻 需 儒〗
tai2	〖人 臺 儓〗〖人 台 □〗〖亻 台 □〗
chou2	〖人 壽 儔〗〖人 寿 俦〗〖亻 寿 俦〗
chai2	〖人 齊 儕〗〖人 齐 侪〗〖亻 齐 侪〗
lan2	〖人 監 儖〗〖人 监 □〗〖亻 监 □〗
ni3	〖人 疑 儗〗〖亻 疑 儗〗
jin3	〖人 盡 儘〗〖尺 冰 尽〗〖尺 冫 尽〗
qian4	〖人 遣 儙〗〖亻 遣 儙〗
meng2	〖人 夢 儚〗〖人 梦 □〗〖亻 梦 □〗
wu3	〖人 舞 儛〗〖亻 舞 儛〗
ning2	〖人 寧 儜〗〖人 宁 □〗〖亻 宁 □〗
qiong2	〖人 榮 儝〗〖人 荣 □〗〖亻 荣 □〗
ni3, er3, nai3	〖人 爾 儞〗〖人 尔 □〗〖亻 尔 □〗
chang2	〖人 賞 償〗〖人 尝 偿〗〖亻 尝 偿〗
lie4	〖人 巤 儠〗〖亻 巤 儠〗
lei3	〖人 畾 儡〗〖亻 畾 儡〗〖人 田 田 田 儡〗
lü3	〖人 慮 儢〗〖人 虑 □〗〖亻 虑 □〗
kuang4	〖人 廣 儣〗〖人 广 □〗〖亻 广 □〗
bao4	〖人 暴 儤〗〖亻 暴 儤〗
du2	〖人 賣 儥〗〖人 卖 □〗〖亻 卖 □〗
biao1	〖人 麃 儦〗〖亻 麃 儦〗
zan3	〖人 賛 儧〗〖人 赞 □〗〖亻 赞 □〗
zhi2	〖人 質 儨〗〖人 质 □〗〖亻 质 □〗
si4	〖人 賜 儩〗〖人 赐 □〗〖亻 赐 □〗
you1	〖人 憂 優〗〖人 尤 优〗〖亻 尤 优〗
hao2	〖人 豪 儫〗〖亻 豪 儫〗
chen4	〖人 靚 儬〗〖人 靓 □〗〖亻 靓 □〗
chen4	〖人 親 儭〗〖人 亲 □〗〖亻 亲 □〗
li4	〖人 歷 儮〗〖人 历 □〗〖亻 历 □〗
teng2	〖人 駦 儯〗〖人 丷 夫 马 □〗〖亻 丷 夫 马 □〗
wei3	〖人 蒍 儰〗〖人 草 为 □〗〖亻 艸 为 □〗〖亻 艹 为 □〗
long3	〖人 龍 儱〗〖人 龙 □〗〖亻 龙 □〗
chu3, chu2	〖人 諸 儲〗〖人 诸 储〗〖亻 诸 储〗
chan4	〖人 毚 儳〗〖亻 毚 儳〗
rang2	〖人 襄 儴〗〖亻 襄 儴〗
shu1	〖攸 黑 儵〗〖攸 黑 儵〗
hui4	〖人 巂 儶〗〖亻 巂 儶〗
li4	〖人 麗 儷〗〖人 丽 俪〗〖亻 丽 俪〗
luo2	〖人 羅 儸〗〖人 罗 □〗〖亻 罗 □〗
zan3	〖人 贊 儹〗〖人 赞 □〗〖亻 赞 □〗
nuo2	〖人 難 儺〗〖人 难 傩〗〖亻 难 傩〗
tang3	〖人 黨 儻〗〖人 党 傥〗〖亻 党 傥〗
yan3	〖人 嚴 儼〗〖人 严 俨〗〖亻 严 俨〗
lei3	〖人 纍 儽〗〖亻 纍 儽〗
nang4	〖人 囊 儾〗〖亻 囊 儾〗
wu4	〖一 儿 兀〗
yun3	〖厶 儿 允〗
zan1, zan3	〖匸 丿 乚 旡〗〖厂 尢 旡〗
yuan2	〖二 儿 元〗
xiong1	〖口 儿 兄〗
chong1	〖亠 允 充〗
zhao4	〖儿 丷 八 兆〗〖冰 儿 丶 丶 兆〗〖冫 儿 丶 丶 兆〗
xiong1	〖凶 儿 兇〗〖凵 乂 凶〗
xian1	〖丿 土 儿 先〗
guang1	〖小 兀 光〗
dui4	〖公 儿 兊〗〖丷 兄 兑〗〖丷 口 儿 兑〗
ke4	〖十 兄 克〗〖十 口 儿 克〗
dui4	〖八 兄 兌〗〖丷 兄 兑〗〖丷 口 儿 兑〗
mian3	〖刀 口 丨 儿 免〗
tu4	〖丿 丨 口 儿 丶 兎〗〖刀 口 丨 儿 丶 兔〗
chang2	〖厂 上 儿 兏〗
er2	〖旧 儿 児〗
er2	〖臼 儿 兒〗〖丿 乚 儿〗
xin1	〖旡 旡 兓〗
tu4	〖刀 口 丨 儿 丶 兔〗
si4	〖凹 儿 兕〗
yan3	〖亠 兊 兖〗
yan3	〖亠 兌 兗〗
shi3	〖元 台 兘〗
qian1	〖克 千 兛〗
dou1	〖匚 白 ㇆ 一 儿 兜〗
fen1	〖克 分 兝〗
mao2	〖克 毛 兞〗
shen1	〖先 先 兟〗
dou1	〖北 白 儿 兠〗〖丬 白 匕 儿 兠〗
jing1	〖克 克 兢〗
li3, ke4	〖克 厘 兣〗
huang2	〖光 廣 兤〗〖光 广 □〗
ru4	〖乁 丿 入〗
wang2	〖丨 一 入 兦〗
nei4	〖冂 入 內〗〖冂 人 内〗
quan2	〖人 王 全〗
liang3	〖一 冂 丨 入 入 兩〗〖一 冂 丨 人 人 两〗
yu2, shu4	〖入 一 肉 巜 兪〗〖人 一 月 刀 俞〗〖人 一 月 刂 俞〗
ba1, ba2	〖丿 乁 八〗
gong1	〖八 厶 公〗
liu4	〖亠 八 六〗
xi1	〖八 丂 兮〗
gong4	〖井 八 共〗〖十 丨 一 八 共〗〖二 丨 丨 八 共〗
tian1	〖王 八 兲〗
bing1	〖丘 八 兵〗
qi2	〖甘 一 八 其〗
ju4	〖目 一 八 具〗
dian3	〖曲 八 典〗
jian1	〖丷 一 彐 丨 丨 八 兼〗〖丷 一 聿 丨 丨 八 兼〗〖丷 一 肀 丨 丨 八 兼〗
ji4	〖丷 異 兾〗
yi4	〖丷 一 执 云 兿〗〖草 乙 艺〗〖艸 乙 艺〗〖艹 乙 艺〗
ji4	〖北 異 冀〗
jiong1	〖丨 乙 冂〗
ran3	〖冂 二 冄〗
yuan2	〖冂 丄 円〗〖囗 员 圆〗
mao3	〖一 丿 冂 冇〗
ran3	〖冂 十 一 冉〗
ce4	〖冂 一 丨 丨 冊〗〖⺆ ⺆ 一 册〗
jiong1	〖冂 口 冋〗
zai4	〖一 冂 十 一 再〗
jiong3	〖冂 八 口 冏〗
mao4, mo4	〖冂 二 月 冐〗〖曰 月 冐〗〖日 月 冐〗
zhou4	〖由 冃 冑〗〖由 冂 二 冑〗〖由 月 冑〗
mao4	〖冃 目 冒〗〖冂 二 目 冒〗〖曰 目 冒〗
gou4, gou1	〖井 再 冓〗
xu3	〖冃 吁 冔〗〖冂 二 吁 冔〗
mian3	〖冃 勉 冕〗〖冂 二 勉 冕〗〖曰 勉 冕〗
mi4	〖丶 乛 冖〗
rong3	〖冖 几 冗〗
yin2, you2	〖冖 人 冘〗〖冖 丿 乚 冘〗
kan3	〖冖 山 冚〗
yi2	〖冖 且 冝〗
mi2	〖冖 米 冞〗
shi4	〖冖 皀 冟〗〖冖 皂 冟〗
guan1, guan4	〖冖 元 寸 冠〗
meng2	〖冖 一 豕 冡〗
zhong3	〖冖 豕 冢〗
ju4	〖冖 取 冣〗
yuan1	〖冖 兔 冤〗
ming2	〖冖 日 大 冥〗
kou4	〖冖 元 攴 冦〗
lin2	〖冖 林 冧〗
fu4	〖冖 畐 冨〗
xie3	〖冖 舄 冩〗
mi4	〖冖 幕 冪〗〖冖 日 大 巾 幂〗
bing1	〖丶 丿 冫〗
dong1	〖夕 冰 冬〗〖夂 冫 冬〗
tai2	〖大 冰 冭〗〖大 冫 冭〗
gang1	〖冰 工 冮〗〖冫 工 冮〗
bing1	〖冰 水 冰〗〖冫 水 冰〗
hu4	〖冰 互 冱〗〖冫 互 冱〗
hu4	〖冰 牙 冴〗〖冫 牙 冴〗
ye3	〖冰 台 冶〗〖冫 台 冶〗
leng3	〖冰 令 冷〗〖冫 令 冷〗
pan4	〖冰 半 冸〗〖冫 半 冸〗
fu2	〖冰 犮 冹〗〖冫 犮 冹〗
min3	〖冰 民 冺〗〖冫 民 冺〗
xian3	〖冰 先 冼〗〖冫 先 冼〗
lie4	〖冰 列 冽〗〖冫 列 冽〗
xia2	〖冰 合 冾〗〖冫 合 冾〗
jian1	〖冰 聿 冿〗〖冫 聿 冿〗
shu4	〖冰 束 凁〗〖冫 束 凁〗
mei3	〖冰 免 凂〗〖冫 免 凂〗
tu2	〖冰 余 凃〗〖冫 余 凃〗
gu4, he2	〖冰 固 凅〗〖冫 固 凅〗
zhun3	〖冰 隹 准〗〖冫 隹 准〗
song1, song4	〖冰 松 凇〗〖冫 松 凇〗
jing4	〖冰 爭 凈〗〖冰 争 净〗〖冫 争 净〗
qing4	〖冰 青 凊〗〖冫 青 凊〗
diao1	〖冰 周 凋〗〖冫 周 凋〗
ling2	〖冰 夌 凌〗〖冫 夌 凌〗
dong4	〖冰 東 凍〗〖冰 东 冻〗〖冫 东 冻〗
gan4	〖冰 金 凎〗〖冫 金 凎〗
yin1	〖冫 垔 凐〗〖冰 垔 凐〗
yi2	〖冰 豈 凒〗〖冰 岂 □〗〖冫 岂 □〗
li4	〖冰 栗 凓〗〖冫 栗 凓〗
cang1	〖冰 倉 凔〗〖冰 仓 □〗〖冫 仓 □〗
ming3	〖冰 冥 凕〗〖冫 冥 凕〗
cui2	〖冰 崔 凗〗〖冫 崔 凗〗
si1	〖冰 斯 凘〗〖冫 斯 凘〗
duo2	〖冰 睪 凙〗〖冰 又 二 丨 □〗〖冫 又 二 丨 □〗
jin4	〖冰 禁 凚〗〖冫 禁 凚〗
lin3	〖冰 稟 凜〗〖冰 禀 凛〗〖冫 禀 凛〗
ning2	〖冰 疑 凝〗〖冫 疑 凝〗
xi1	〖冰 熙 凞〗〖冫 熙 凞〗
du2	〖冰 賣 凟〗〖冰 卖 □〗〖冫 卖 □〗
ji1	〖丿 乙 几〗
fan2	〖几 丶 凡〗
fan2	〖丶 几 凢〗
fan2	〖丨 几 凣〗〖丶 几 凣〗
ju1	〖尸 几 凥〗
chu3, chu4, ju4	〖夕 几 処〗〖夕 卜 处〗〖夂 卜 处〗
zheng1	〖几 巾 凧〗
feng1, feng3, feng4	〖几 云 凨〗
feng1	〖几 一 日 凬〗
feng1	〖几 百 凮〗
huang2	〖几 皇 凰〗
kai3	〖豈 几 凱〗〖岂 几 凯〗
gan1	〖几 兼 凲〗
deng4	〖登 几 凳〗
ping2	〖馮 几 凴〗〖冯 几 □〗
qu1	〖丨 一 丨 凵〗
xiong1	〖凵 乂 凶〗
kuai4	〖凵 土 凷〗
chu1	〖山 山 出〗〖山 凵 出〗〖凵 丨 凵 出〗
dang4	〖凵 水 凼〗
han2	〖凵 氶 函〗
han2	〖凵 了 口 又 凾〗〖凵 亟 凾〗
dao1	〖㇆ 丿 刀〗
dao1	〖丨 亅 刂〗
ren4	〖刀 丶 刃〗
ren4	〖刀 乀 刄〗
chuang1	〖刀 八 刅〗
fen1, fen4	〖八 刀 分〗
qie1, qie4	〖七 刀 切〗
yi4	〖乂 刀 刈〗〖乂 刂 刈〗
ji1	〖乞 刀 刉〗〖乞 刂 刉〗
kan1	〖干 刀 刊〗〖干 刂 刊〗
qian4, kan1	〖千 刀 刋〗〖千 刂 刋〗
cun3	〖寸 刀 刌〗〖寸 刂 刌〗
chu2	〖刀 彐 刍〗
wen3	〖勿 刀 刎〗〖勿 刂 刎〗
ji1	〖气 刀 刏〗〖气 刂 刏〗
dan3	〖丹 刀 刐〗〖丹 刂 刐〗
xing2	〖开 刀 刑〗〖开 刂 刑〗
hua2	〖戈 刀 划〗〖戈 刂 划〗
wan2	〖元 刀 刓〗〖元 刂 刓〗
jue2	〖夬 刀 刔〗〖夬 刂 刔〗
li2	〖刀 刀 刀 刕〗
yue4	〖月 刀 刖〗〖月 刂 刖〗
lie4	〖歹 刀 列〗〖歹 刂 列〗
fu2	〖弗 刀 刜〗〖弗 刂 刜〗
chu1	〖衣 刀 初〗〖衤 刀 初〗
qu4	〖且 刀 刞〗〖且 刂 刞〗
ju1	〖召 刀 刟〗〖召 刂 刟〗
min3	〖民 刀 刡〗〖民 刂 刡〗
ling2	〖令 刀 刢〗〖令 刂 刢〗
zhong1	〖台 刀 刣〗〖台 刂 刣〗
pan4	〖半 刀 判〗〖半 刂 判〗
bie2	〖口 刀 刀 別〗〖另 刀 别〗〖另 刂 别〗
jie2	〖去 刀 刦〗〖去 力 劫〗
jie2	〖去 刀 刧〗〖去 力 劫〗
