开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
xie4	〖人 世 伳〗〖亻 世 伳〗
ban4	〖人 半 伴〗
xu4	〖人 四 伵〗〖亻 四 伵〗
ling2	〖人 令 伶〗〖亻 令 伶〗
zhou4	〖人 由 伷〗〖亻 由 伷〗
shen1	〖人 申 伸〗〖亻 申 伸〗
qu1	〖人 且 伹〗〖亻 且 伹〗
ci4, si4	〖人 司 伺〗〖亻 司 伺〗
beng1	〖人 平 伻〗〖亻 平 伻〗
shi4, si4	〖人 以 似〗〖亻 以 似〗
jia1	〖人 加 伽〗〖亻 加 伽〗
pi1	〖人 丕 伾〗〖亻 丕 伾〗
yi4	〖人 只 伿〗〖亻 只 伿〗
si4, shi4	〖人 尸 乛 一 佀〗〖亻 尸 乛 一 佀〗
ai3, yi3, chi4, si4	〖人 台 佁〗〖亻 台 佁〗
zheng1	〖人 正 佂〗〖亻 正 佂〗
dian4	〖人 田 佃〗〖亻 田 佃〗
han2	〖人 甘 佄〗〖亻 甘 佄〗
mai4	〖人 未 佅〗〖亻 未 佅〗
dan4	〖人 旦 但〗〖亻 旦 但〗
zhu4	〖人 宁 佇〗〖人 宀 一 伫〗〖亻 宀 一 伫〗
bu4	〖人 布 佈〗〖一 丿 巾 布〗
qu1	〖人 去 佉〗〖亻 去 佉〗
bi3	〖人 皮 佊〗〖亻 皮 佊〗
shao4	〖人 召 佋〗〖亻 召 佋〗
ci3	〖人 此 佌〗〖亻 此 佌〗
wei4	〖人 立 位〗〖亻 立 位〗
di1	〖人 氐 低〗〖亻 氐 低〗
zhu4	〖人 主 住〗〖亻 主 住〗
zuo3	〖人 左 佐〗〖亻 左 佐〗
you4	〖人 右 佑〗〖亻 右 佑〗
yang1	〖人 央 佒〗〖亻 央 佒〗
zhan4	〖人 占 佔〗〖亻 占 佔〗
he2	〖人 可 何〗〖亻 可 何〗
bi4	〖人 必 佖〗〖亻 必 佖〗
tuo2	〖人 它 佗〗〖亻 它 佗〗
she2	〖人 示 佘〗
yu2	〖人 于 八 余〗
yi4, die2	〖人 失 佚〗〖亻 失 佚〗
fo2	〖人 弗 佛〗〖亻 弗 佛〗
zuo4	〖人 乍 作〗〖亻 乍 作〗
gou1, kou4, hou3	〖人 句 佝〗〖亻 句 佝〗
ning4	〖人 二 女 佞〗〖亻 二 女 佞〗
tong2	〖人 冬 佟〗〖亻 冬 佟〗
ni3	〖人 尔 你〗〖亻 尔 你〗
xuan1	〖人 仚 佡〗〖亻 仚 佡〗
qu2	〖人 巨 佢〗〖亻 巨 佢〗
yong4	〖人 用 佣〗〖亻 用 佣〗
wa3	〖人 瓦 佤〗〖亻 瓦 佤〗
ka3	〖人 卡 佧〗〖亻 卡 佧〗
pei4	〖人 几 帀 佩〗〖亻 几 帀 佩〗
hui2, huai2	〖人 回 佪〗〖亻 回 佪〗
he4	〖人 各 佫〗〖亻 各 佫〗
lao3	〖人 老 佬〗〖亻 老 佬〗
xiang2	〖人 夅 佭〗〖亻 夅 佭〗
ge2	〖人 合 佮〗〖亻 合 佮〗
yang2	〖人 羊 佯〗〖亻 羊 佯〗
bai3	〖人 百 佰〗〖亻 百 佰〗
fa3	〖人 一 正 佱〗〖亻 一 正 佱〗
ming2	〖人 名 佲〗〖亻 名 佲〗
jia1	〖人 圭 佳〗〖亻 圭 佳〗〖人 土 土 佳〗
er4, nai4, mi3	〖人 耳 佴〗〖亻 耳 佴〗
bing4	〖人 并 併〗〖丷 开 并〗
ji2	〖人 吉 佶〗〖亻 吉 佶〗
hen3	〖人 艮 佷〗〖亻 艮 佷〗
